datacompleteness,side,teamname,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,firstblood,team kpm,ckpm,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,damagetochampions,dpm,damagetakenperminute,totalgold,earnedgold,earned gpm,goldspent,gspd
complete,Red,Gen.G,1777,1,15,5,38,15,5,1.0,0.5065,0.6753,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,9.0,0.0,76537.0,2584.2544,2892.2228,57222,37714.0,1273.4046,52100.0,0.161422
complete,Red,Gen.G,1896,1,22,11,55,22,11,0.0,0.6962,1.0443,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,91931.0,2909.2089,3215.8861,63406,42685.0,1350.7911,58135.0,0.14287
complete,Red,Gen.G,2746,0,14,21,33,14,21,0.0,0.3059,0.7647,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,8.0,8.0,110279.0,2409.5921,3485.3095,81188,51801.0,1131.85,81648.0,-0.00886461
complete,Red,Gen.G,1833,0,9,13,15,9,13,1.0,0.2946,0.7201,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,59157.0,1936.3993,2782.0622,47902,27832.0,911.0311,47250.0,-0.141282
complete,Red,Gen.G,1750,1,15,6,41,15,6,1.0,0.5143,0.72,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,11.0,3.0,64969.0,2227.5086,2389.44,60878,41654.0,1428.1371,54975.0,0.157469
complete,Red,Gen.G,1695,1,11,5,24,11,5,0.0,0.3894,0.5664,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,52130.0,1845.3097,1879.292,57636,38973.0,1379.5752,52325.0,0.0973415
complete,Blue,Gen.G,1577,1,17,7,38,17,7,0.0,0.6468,0.9131,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,63505.0,2416.1699,1909.3849,56948,39487.0,1502.3589,50548.0,0.187681
complete,Red,Gen.G,1923,1,29,9,55,29,9,1.0,0.9048,1.1856,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,94349.0,2943.8066,2701.1544,63254,42265.0,1318.7207,56550.0,0.0925069
complete,Blue,Gen.G,1563,1,13,5,30,13,5,1.0,0.499,0.691,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,38643.0,1483.4165,2045.4127,54743,37422.0,1436.5451,43200.0,0.0760497
complete,Blue,Gen.G,1424,1,15,3,36,15,3,1.0,0.632,0.7584,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,47202.0,1988.8483,2858.9747,51311,35408.0,1491.9101,43600.0,0.19855
complete,Red,Gen.G,1752,1,18,8,38,18,8,1.0,0.6164,0.8904,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,53737.0,1840.3082,2839.9315,60474,41230.0,1411.9863,55355.0,0.157985
complete,Red,Gen.G,1919,1,19,10,40,19,10,0.0,0.5941,0.9067,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,4.0,74602.0,2332.5274,2483.5122,62249,41300.0,1291.2976,54210.0,0.0315735
complete,Blue,Gen.G,1924,0,6,20,10,6,20,0.0,0.1871,0.8108,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,46976.0,1464.948,2886.6736,51840,30834.0,961.5593,50925.0,-0.103882
complete,Blue,Gen.G,2154,0,9,15,10,9,15,1.0,0.2507,0.6685,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,11.0,65005.0,1810.7242,3130.5292,59195,35842.0,998.3844,57000.0,-0.0714739
complete,Blue,Gen.G,2113,0,6,17,12,6,17,0.0,0.1704,0.6531,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,56797.0,1612.7875,2558.4477,57004,34073.0,967.5248,55650.0,-0.0974359
complete,Red,Gen.G,2203,1,17,10,34,17,10,1.0,0.463,0.7354,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,4.0,68935.0,1877.4852,2275.9147,68616,44767.0,1219.2556,62165.0,0.0766661
complete,Blue,Gen.G,1985,1,13,5,35,13,5,1.0,0.3929,0.5441,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,2.0,54080.0,1634.6599,1871.5768,65265,43640.0,1319.0932,60150.0,0.123097
complete,Red,Gen.G,2498,1,17,7,40,17,7,0.0,0.4083,0.5765,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,10.0,4.0,91750.0,2203.763,2006.7094,80232,53374.0,1282.0016,71350.0,0.0463182
complete,Red,Gen.G,2176,0,7,18,14,7,18,0.0,0.193,0.6893,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,10.0,58151.0,1603.4283,3195.3585,59141,35568.0,980.7353,56500.0,-0.0353805
complete,Blue,Gen.G,2539,1,16,10,29,16,10,1.0,0.3781,0.6144,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,93319.0,2205.254,2254.7381,76746,49470.0,1169.0429,67525.0,0.0442763
complete,Red,Gen.G,1748,1,12,2,24,12,2,1.0,0.4119,0.4805,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,57750.0,1982.2654,2091.3158,59413,40205.0,1380.0343,50458.0,0.158954
complete,Red,Gen.G,2584,1,25,15,45,25,15,1.0,0.5805,0.9288,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,4.0,107565.0,2497.6393,3132.4226,82946,55211.0,1281.9892,75525.0,0.0296281
complete,Blue,Gen.G,1919,1,17,8,38,17,8,1.0,0.5315,0.7817,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,78842.0,2465.0964,2649.161,65912,44960.0,1405.7322,59743.0,0.192544
complete,Red,Gen.G,1265,0,2,11,6,2,11,0.0,0.0949,0.6166,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,29063.0,1378.4822,2454.0711,33042,18761.0,889.8498,31915.0,-0.20002
complete,Blue,Gen.G,1652,1,20,10,49,20,10,1.0,0.7264,1.0896,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,2.0,69823.0,2535.9443,2464.1404,58052,39824.0,1446.3923,53175.0,0.152834
complete,Blue,Gen.G,2300,0,10,10,16,10,10,0.0,0.2609,0.5217,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,9.0,62372.0,1627.0957,2193.4957,67070,42232.0,1101.7043,63060.0,-0.0295289
complete,Red,Gen.G,2247,1,19,8,47,19,8,0.0,0.5073,0.721,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,75261.0,2009.6395,2406.3284,69468,45171.0,1206.1682,64435.0,0.115918
complete,Blue,Gen.G,2120,0,7,16,15,7,16,0.0,0.1981,0.6509,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,8.0,61841.0,1750.217,2453.0943,56191,33189.0,939.3113,55000.0,-0.0618106
complete,Blue,Gen.G,1983,1,19,9,37,19,9,1.0,0.5749,0.8472,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,6.0,66221.0,2003.6611,2433.1921,66908,45303.0,1370.7413,63128.0,0.158167
complete,Red,Gen.G,2046,1,15,12,33,15,12,0.0,0.4399,0.7918,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,8.0,62541.0,1834.0469,2903.7537,62377,40130.0,1176.8328,53895.0,-0.141792
complete,Blue,Gen.G,1809,0,8,15,17,8,15,1.0,0.2653,0.7629,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,44728.0,1483.5158,2600.199,49546,29716.0,985.6053,46575.0,-0.0696301
complete,Blue,Gen.G,2138,1,29,17,43,29,17,0.0,0.8138,1.2909,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,4.0,82387.0,2312.0767,3401.5341,68032,44846.0,1258.5407,62675.0,0.0344898
complete,Red,Gen.G,2247,0,3,15,7,3,15,0.0,0.0801,0.4806,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,10.0,65203.0,1741.0681,2846.9426,59534,35237.0,940.9079,55975.0,-0.141909
complete,Blue,Gen.G,1675,0,4,21,8,4,21,0.0,0.1433,0.8955,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,41357.0,1481.4448,2744.2746,42982,24519.0,878.2925,40335.0,-0.243632
complete,Red,Gen.G,1966,1,12,6,33,12,6,1.0,0.3662,0.5493,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,9.0,2.0,77774.0,2373.5707,2610.9461,65086,43655.0,1332.2991,58333.0,0.127466
complete,Red,Gen.G,2092,1,13,5,31,13,5,0.0,0.3728,0.5163,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,9.0,3.0,89305.0,2561.3289,2378.6616,69706,46990.0,1347.7055,61208.0,0.0882797
complete,Blue,Gen.G,1423,1,16,4,27,16,4,1.0,0.6746,0.8433,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,58678.0,2474.1251,2753.844,50822,34929.0,1472.7618,44275.0,0.273865
complete,Red,Gen.G,1835,1,18,4,35,18,4,1.0,0.5886,0.7193,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,2.0,69390.0,2268.8828,3622.5286,61550,41455.0,1355.4768,58750.0,0.202623
complete,Blue,Gen.G,1801,1,10,9,16,10,9,1.0,0.3331,0.633,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,3.0,53222.0,1773.0816,2795.4137,57568,37820.0,1259.9667,49218.0,-0.0152632
